Balance,BillCycle,CardID,CardNumber,CardType,CreditLimit,CustomerID,ExpirationDate,InterestRate,IssueDate,Status
380.98,Quarterly,5463244070584396,30494240260322,Visa,9234.94,404106,2025-11-23,12.85,2021-02-22,Suspended
2873.45,Monthly,7887668185949149,213164079509037,Visa,5900.65,428683,2027-01-24,13.36,2020-06-06,Closed
1770.32,Monthly,5606522071568007,30264215929387,American Express,1646.98,448809,2028-02-28,10.81,2022-08-21,Suspended
648.5,Monthly,8554561288829761,30159892320258,American Express,7544.35,409545,2027-01-23,15.19,2022-11-13,Active
1388.96,Monthly,8145562151689074,341599107168774,MasterCard,6494.37,431889,2028-06-27,14.63,2021-07-12,Suspended
2012.91,Monthly,1454947972577471,6011519426490622,MasterCard,1893.3,446060,2026-04-10,15.9,2024-05-02,Suspended
351.79,Monthly,1279281954548495,6536388393293799,MasterCard,3509.04,445728,2028-12-01,17.57,2024-04-24,Closed
4860.84,Monthly,6614110282787678,4705596705150297,Visa,1037.58,421154,2027-08-16,19.9,2020-11-27,Active
2695.68,Monthly,6739196915207205,676328056772,MasterCard,6360.5,406348,2026-02-22,18.4,2020-05-18,Closed
1815.35,Quarterly,8717946600056634,4443755616592354,Visa,6756.2,426731,2027-09-10,18.29,2023-08-22,Active
1374.97,Quarterly,4556495366950838,36528846012092,American Express,9247.46,408484,2027-08-10,19.83,2020-05-13,Suspended
304.78,Quarterly,9565373430407391,2235584541656225,MasterCard,8776.6,445009,2028-02-18,14.5,2024-07-13,Active
2833.24,Monthly,1116964381932656,4312620564042,Visa,7690.7,441511,2027-05-05,13.08,2023-11-29,Active
1969.8,Quarterly,7907905491874962,6011668610209783,Visa,9369.05,441913,2027-12-27,10.14,2022-04-07,Suspended
4754.22,Quarterly,8821415370495976,4477040322395387,MasterCard,7153.46,401668,2026-07-18,17.2,2023-09-29,Active
4493.46,Monthly,9321204644129238,3508203486834527,Visa,5528.16,412068,2026-11-19,10.29,2020-07-10,Active
4891.91,Quarterly,4518271139037033,6011227570338601,Visa,1338.26,401870,2027-08-04,19.57,2021-08-09,Suspended
1721.6,Monthly,1274685888326961,376396301020655,MasterCard,8691.01,426141,2029-05-04,12.22,2024-07-20,Active
3873.14,Quarterly,7587981974466334,6011014925242229,Visa,7563.72,416906,2026-12-01,18.49,2022-07-19,Closed
548.13,Monthly,5479031265013688,565696985201,MasterCard,2089.07,436616,2027-04-10,10.22,2024-03-04,Closed
2295,Monthly,4057747249411235,4281327556988917448,American Express,2564.98,432792,2027-07-02,16.06,2022-06-03,Closed
3666.54,Quarterly,8342786368256171,4208760451604574,Visa,2460.55,404770,2028-06-19,12.3,2023-05-28,Suspended
111.37,Monthly,5362917214057145,180034498574178,MasterCard,2379.9,405393,2028-01-04,11.61,2021-01-16,Closed
4237.8,Quarterly,7639486858761999,676167667655,Visa,9641.39,448938,2025-11-01,13.68,2024-01-21,Closed
1885.18,Quarterly,3021554254026782,2429469378142885,Visa,3058.88,402051,2027-05-06,10.9,2024-04-05,Suspended
182.83,Quarterly,4148229057350408,213113714292814,MasterCard,9288.7,403156,2029-02-02,11.65,2021-12-26,Suspended
2841.69,Monthly,1622429393835957,30486680840985,Visa,7030.84,431950,2025-09-06,12.94,2024-01-15,Closed
2387.98,Monthly,6631042013522964,4681186092577530,MasterCard,9822.56,416563,2029-01-23,18.99,2022-08-03,Active
4171.3,Quarterly,3738508190268581,4136404520408231691,MasterCard,6803.83,439629,2027-04-10,12.28,2021-04-24,Closed
3143.63,Quarterly,2558502385908440,3581488218298766,MasterCard,2371.51,448890,2026-08-28,19.67,2022-06-20,Closed
1406.3,Quarterly,3490103341107665,180035320528597,Visa,5540.08,403625,2027-07-31,17.41,2022-02-17,Closed
266.28,Quarterly,8706435997180893,4137460577953346,MasterCard,1481.71,411012,2027-08-23,11.77,2021-03-11,Active
3633.57,Monthly,4455291680144354,180077477981815,American Express,9156.9,404894,2029-07-28,16.92,2020-09-20,Suspended
1400.5,Quarterly,7791777566291955,30465316908507,Visa,2579.93,413749,2026-09-24,13.86,2022-10-27,Suspended
4357.26,Monthly,2439956488091961,4339816267619,MasterCard,3296.63,408309,2026-03-10,15.52,2021-03-14,Suspended
2628.59,Quarterly,7530382059467751,675918707083,Visa,3182.89,409316,2027-03-26,15.21,2020-02-07,Closed
2070.43,Quarterly,8581843286123514,6573799749386117,Visa,7951.4,406567,2026-09-29,10.33,2022-07-28,Closed
4833.39,Monthly,6812364178102328,2275383182004998,American Express,7690.46,422838,2029-01-14,14.54,2024-04-28,Active
2275.7,Monthly,5784246471460939,4970076008523,MasterCard,6591.75,430387,2027-11-22,11.52,2020-11-30,Active
4088.69,Quarterly,4053099061050608,4050697188184,MasterCard,9229.6,406241,2029-01-22,14.55,2020-05-13,Closed
1756.65,Quarterly,6262106649787632,342267547318487,MasterCard,7384.88,416473,2028-01-30,10.95,2023-05-01,Closed
3627.1,Monthly,9915017548097286,4919281781994,Visa,4458.95,432655,2029-03-25,11.36,2024-01-07,Active
3380.05,Quarterly,8648215155334182,3563938780266361,American Express,6698.91,408812,2026-08-02,16.35,2021-10-11,Active
2123.7,Quarterly,4526029720329964,2349267381806521,Visa,5676.86,444827,2028-05-09,19.05,2024-02-14,Closed
1955.83,Quarterly,4676655649359886,6011606141686095,American Express,1488.91,404800,2026-06-06,18.66,2021-11-01,Closed
1674.01,Monthly,1735698414610599,639045798837,American Express,2379.04,425645,2026-10-18,11.67,2022-08-27,Active
391.57,Monthly,5147136583631816,213150462369642,Visa,1937.51,400479,2027-12-12,18.18,2022-03-21,Active
4693.74,Quarterly,7441307410556202,3501782136897502,American Express,4162.17,430036,2028-08-18,11.02,2023-04-19,Closed
879.63,Monthly,1085101287145057,30018662332960,MasterCard,7162.71,400215,2028-08-17,15.47,2024-06-22,Active
1038.4,Quarterly,8249377128212574,36375115433264,Visa,8349.56,434176,2025-09-03,10.61,2023-07-24,Active
1159.88,Quarterly,7285310778605192,3507345566028453,MasterCard,5218.24,442241,2028-09-08,11.87,2024-01-15,Closed
4944.67,Monthly,5805524603898498,4314543912075779,American Express,5009,403059,2026-01-04,14.82,2020-08-08,Suspended
4393.31,Monthly,3753958933656880,2231076248365717,American Express,9985.9,413583,2027-09-22,19.08,2020-08-06,Suspended
1305.85,Quarterly,8713213577928879,3531018927614036,American Express,2648.9,443994,2029-05-22,19.04,2023-01-10,Suspended
2565.17,Monthly,5345605712716307,4765770893263169369,MasterCard,3690.21,406126,2026-09-01,17.61,2023-11-15,Active
2361.14,Quarterly,3752538438561764,4937563576737420,MasterCard,6214.16,420375,2026-07-10,15.64,2024-04-04,Closed
3076.75,Quarterly,7453067450342591,4659105513984994207,Visa,1982.2,420121,2026-01-04,11.63,2021-07-24,Closed
1820.83,Monthly,4429874836372394,6011829449478607,Visa,6443.95,439276,2028-08-09,17.19,2020-04-05,Suspended
3551.27,Quarterly,8761210818929034,4273270581647,Visa,7530.38,400460,2026-09-20,11.92,2020-03-25,Closed
3090.87,Quarterly,8731312680227518,2257536876994053,Visa,9340.87,400584,2026-08-21,16.58,2020-04-01,Suspended
1263.17,Quarterly,7987115589082371,6573989102230156,MasterCard,9376.22,414057,2026-08-25,15.2,2023-01-05,Active
4545.27,Quarterly,2051866364146186,3540695574629356,MasterCard,2891.77,429831,2028-02-11,11.94,2022-07-02,Suspended
36.31,Quarterly,2403449586461386,6011412755166346,MasterCard,4488.8,430864,2028-09-23,16.47,2023-07-08,Suspended
3513.04,Quarterly,3787910323637519,4845098755535,Visa,5980.46,420654,2027-02-06,15.09,2021-01-04,Active
3498.43,Quarterly,2401757951926641,4556165025803652,American Express,1170.77,426493,2027-05-27,19.18,2023-08-30,Closed
3217.94,Monthly,3456718153963136,213176797068443,Visa,9278.41,430858,2026-10-18,18.58,2024-01-19,Active
634.05,Quarterly,8902802000324460,4656109888091368,MasterCard,9890.98,409299,2028-04-21,15.97,2022-03-23,Closed
13.53,Monthly,8187917112761139,213185518765518,Visa,5606.54,414698,2026-03-17,14.07,2023-01-26,Suspended
1387.08,Monthly,9561818282297870,4413190388243766508,MasterCard,6016.23,424896,2025-08-09,13.13,2021-06-04,Suspended
4898.59,Monthly,4367900386162777,3525838995927327,MasterCard,5315.55,403955,2029-04-05,12.43,2020-11-02,Closed
3242.51,Monthly,6009834244710524,4212564341574615,MasterCard,6555.61,437174,2027-01-01,13.76,2023-01-24,Suspended
1080.27,Monthly,9862352371068892,213155163451896,MasterCard,1104.07,436198,2029-06-05,13.26,2021-08-24,Active
4108.14,Monthly,3571330778103537,6558041121093121,MasterCard,8552.58,435549,2025-10-15,19.16,2022-09-09,Suspended
4530.2,Monthly,7201371493397630,30133774862471,American Express,5108.4,444995,2028-11-27,15.36,2020-10-03,Closed
429.3,Quarterly,5777381843938792,4857866589208023220,Visa,4864.66,424578,2028-03-20,15.59,2023-06-30,Closed
701.91,Monthly,5420317441085109,3581496382908276,MasterCard,9239.06,434385,2029-01-26,10.06,2023-06-28,Active
2492.87,Monthly,3271600204573748,30108299571468,MasterCard,5712.5,410747,2026-10-27,11.02,2024-03-08,Closed
3257.02,Monthly,7293625353445096,180027191331094,Visa,6188.43,409345,2029-07-12,12.4,2024-04-02,Suspended
3993.27,Quarterly,1739628519713584,36396235339579,MasterCard,2256.84,407365,2027-05-21,10.52,2020-03-04,Active
91.89,Monthly,2740472090475325,4570918771205056,MasterCard,4368.36,442654,2025-11-15,11.92,2023-10-18,Closed
323.12,Monthly,5856492858331040,3515695506466563,Visa,4765.05,429408,2027-04-22,18.92,2024-04-28,Closed
30.42,Monthly,6961822882925351,30343895527495,American Express,4792.22,416096,2027-11-22,17.8,2023-09-11,Active
1800.9,Quarterly,3129028209698236,2267864727120274,MasterCard,6232.56,408292,2028-01-09,13.59,2023-08-05,Suspended
2109.41,Monthly,6163306209201393,340150002730101,MasterCard,7779.89,432531,2028-07-05,10.34,2021-06-11,Closed
4961.59,Quarterly,1245271923660456,3587968860287195,Visa,4114.93,411803,2026-04-14,10.66,2023-03-05,Active
4361.35,Quarterly,9888112559971858,4086774556281193,American Express,5764.94,400581,2027-09-06,15.57,2024-07-27,Suspended
2197.72,Monthly,2399857006588240,4032821371708721,American Express,7962.87,427553,2025-12-10,13.94,2023-10-01,Closed
3212.86,Monthly,6175167508654935,6559342913331201,MasterCard,6650.78,433497,2026-07-06,19.11,2024-04-15,Closed
4117.64,Monthly,9897740390385889,2708078013225070,American Express,3202.95,429975,2027-07-27,19.63,2020-10-05,Suspended
1896.92,Quarterly,9558722893327960,4546265281459885,MasterCard,1926.51,416030,2027-12-09,14.42,2020-03-12,Suspended
2945.85,Monthly,4195392774302031,503858379202,MasterCard,4574.09,404785,2026-09-09,12.08,2022-06-13,Closed
1404.62,Quarterly,1384353490357557,3570394841657282,American Express,3278.58,424237,2028-12-13,14.51,2020-07-22,Suspended
2209.66,Quarterly,7096403390402436,180033783301305,Visa,2544.3,428758,2028-09-13,16.32,2024-05-06,Active
4778.68,Quarterly,8410716209268726,3577043007816066,MasterCard,6036.88,401852,2029-04-13,11.08,2023-01-31,Closed
3898.11,Monthly,9350206635023915,4489968506100494,MasterCard,4545.64,428543,2028-07-17,18.27,2023-01-27,Active
2407.45,Monthly,4298538082377624,4898693020872692,American Express,4750.61,442129,2028-03-20,11.64,2020-03-29,Suspended
1901.01,Quarterly,6682216250897813,3594473257395181,Visa,2549.5,416996,2028-09-04,10.96,2021-12-03,Suspended
4263.73,Quarterly,7281515492409801,3571856212722431,MasterCard,1851.27,447431,2027-08-12,15.57,2021-06-07,Suspended
3243.21,Quarterly,4533158220024975,378809910803822,American Express,1203.44,448225,2029-07-15,15.08,2021-08-20,Suspended
1629.76,Quarterly,2243137650900811,6011327861527241,Visa,6961.96,440119,2029-03-28,19.14,2020-07-23,Active
3129.24,Quarterly,1892136410025621,676209582334,MasterCard,6028.38,443349,2026-05-29,14.66,2020-04-17,Active
2525.07,Monthly,8856712769025578,30450845127977,Visa,9886.32,441261,2027-05-21,19.19,2023-07-13,Active
1301.96,Monthly,8409606548901409,4880493701627576,MasterCard,6350.9,424423,2029-07-17,13.94,2021-04-06,Active
4639.1,Monthly,8462206239028205,676287964180,MasterCard,7929.16,439172,2027-01-10,19.73,2020-11-27,Closed
1228.01,Quarterly,1671420140930225,6562284484196156,MasterCard,9165.83,413315,2028-05-10,12.32,2020-03-28,Active
3623.5,Monthly,5837625921006774,4301606583253992227,Visa,5987.29,439690,2026-10-18,11.62,2022-10-26,Suspended
1449.46,Quarterly,2706762954937736,676276546485,MasterCard,9261.05,411469,2029-06-12,17.48,2022-05-04,Closed
63.47,Quarterly,1509964449748041,4087040167406580,Visa,4006.5,406797,2027-08-17,14.95,2024-03-22,Active
526.99,Quarterly,3913473336751516,4920525034208,Visa,5630.83,435331,2028-11-05,18.49,2021-01-25,Active
4346.94,Monthly,1862080623482864,4456997336289075569,Visa,8727.72,413477,2026-01-30,19,2022-01-23,Active
4941.79,Monthly,4678932699128079,3562904882496950,MasterCard,7616.06,424232,2027-05-21,18.03,2024-07-28,Active
1680.18,Monthly,1055555520130210,4596328900716314,MasterCard,7112.99,445982,2028-09-14,15.81,2021-03-24,Suspended
4682.06,Monthly,2863228107588208,4065765276606417,American Express,3070.42,432116,2025-10-07,18.9,2023-03-04,Closed
1826.91,Monthly,5367858618810309,370314566222920,American Express,3466.52,408533,2029-02-25,16.18,2024-04-09,Closed
4506.47,Monthly,8239364188027148,4895067286401749613,American Express,1584.19,404214,2028-07-01,15.62,2023-09-08,Closed
3531.98,Quarterly,7452900727678024,370413443867509,Visa,6933.64,419353,2027-03-05,16.27,2021-01-01,Active
3409.79,Monthly,5705211909397848,4154682022413158,Visa,7572.45,433893,2026-10-07,13.73,2023-03-31,Suspended
2262.29,Quarterly,9536740162118468,060486972734,American Express,2876.04,441300,2027-09-28,11.26,2022-08-31,Suspended
1862.03,Monthly,4451365759618636,3549872664165051,American Express,4714.38,437713,2029-03-05,16.39,2022-09-07,Suspended
3740.75,Quarterly,6948726236000765,3568305593430441,Visa,6912.82,433584,2026-01-05,18.34,2023-03-01,Active
3102.71,Quarterly,3530812156518534,4512744384203226,Visa,2692.69,413108,2027-08-02,11.56,2021-04-05,Active
1127.19,Quarterly,3507892372827786,3534929820406485,American Express,2878.23,440723,2026-05-31,14.42,2020-04-26,Suspended
4750.44,Quarterly,3301796488401656,213140459731300,American Express,8127.3,411515,2026-08-16,18.23,2020-09-18,Suspended
3390.54,Quarterly,9640200129622801,3519558791329159,Visa,2520.76,436337,2026-08-07,16.3,2023-04-12,Suspended
4625.24,Monthly,5248755273881923,2282245629829819,American Express,5464.73,401253,2026-12-21,18.23,2024-06-12,Closed
1620.51,Monthly,1900141606576519,372925322945591,MasterCard,3971.67,403664,2027-07-04,15.34,2020-11-14,Suspended
2885.58,Quarterly,3470035394556395,3519342884047154,MasterCard,7748.33,421788,2026-02-15,11.75,2024-04-24,Suspended
4213.2,Quarterly,7143970532880163,3599140619872869,American Express,6426.73,404680,2027-08-07,16.36,2021-02-11,Active
1179.93,Quarterly,5479524799280863,180039245233101,MasterCard,8666.44,426664,2026-03-31,14.45,2023-07-03,Closed
2101.87,Monthly,1330715599511174,4166274982821610790,American Express,5919.72,421368,2029-02-05,15.01,2020-07-26,Closed
3829.82,Quarterly,3566307617638562,6011228366367655,MasterCard,2725.94,425569,2027-10-29,10.69,2023-07-14,Active
2260.93,Monthly,1829071005145011,3545008604352822,American Express,4398.6,414341,2028-03-31,10.41,2020-12-06,Active
2253.61,Quarterly,4870343928562010,6522573565075357,MasterCard,8954.43,415574,2025-10-29,16.87,2021-08-16,Active
4371.92,Monthly,3540750045458049,4223712991409,Visa,5381,416899,2025-11-16,15.22,2021-03-17,Suspended
633.28,Quarterly,4050223906396088,213143872924361,Visa,8647.57,404107,2028-09-03,11.85,2023-09-11,Suspended
2990.23,Quarterly,8546095398618014,4207976398705180,Visa,8982.93,439184,2027-06-29,12.37,2023-01-28,Suspended
2645.07,Monthly,7213290964615564,376283221319658,American Express,2839.7,403158,2029-06-05,10.5,2023-11-05,Suspended
2787.55,Monthly,7568088949071230,3573977633065925,MasterCard,5797.1,424086,2027-02-14,19.26,2024-02-26,Suspended
4985.84,Monthly,4032885895881244,379578723856405,MasterCard,4409.24,405806,2026-02-05,13.43,2021-03-31,Active
4977.17,Quarterly,6484985310489053,4154722699197,American Express,7697.94,410496,2026-12-21,19.85,2022-11-21,Active
1267.46,Monthly,9071749305445365,4170493540928739,American Express,4734.39,441166,2028-04-05,19.58,2024-02-29,Active
929.33,Quarterly,2961989142002226,374551663606184,MasterCard,2915.35,429580,2028-03-14,13.55,2022-07-01,Closed
1101.88,Monthly,6012866133885474,6011737316672899,MasterCard,8074.49,435785,2027-06-22,12.08,2023-06-17,Active
1897.59,Monthly,8802094029911645,30516682813794,American Express,6850.73,425762,2026-12-05,14.43,2023-01-03,Closed
1082.24,Quarterly,5699485386924234,3574684827631178,Visa,6832.11,403763,2027-02-24,13.93,2021-12-04,Closed
2153.65,Quarterly,7611148078191813,345147181331821,American Express,3819.08,435672,2028-03-02,15.31,2023-04-18,Suspended
1611.58,Monthly,8588720582184251,4626389472877,Visa,5538.83,433087,2028-06-15,18.9,2022-02-05,Closed
1193.51,Monthly,5190974573428610,4864395833954242,Visa,4477.02,417974,2029-05-01,12.19,2020-06-15,Active
4544.38,Quarterly,5875967863236937,503887592080,MasterCard,9469.49,447123,2027-11-10,15.1,2020-03-25,Closed
3211.56,Monthly,9269932092889955,4988799525022088,American Express,2854.1,400569,2028-07-05,10.5,2020-05-25,Active
3008.85,Monthly,6080970403138894,344287877175255,Visa,5323.35,431592,2026-02-01,16.77,2024-03-15,Suspended
1558.28,Monthly,6180793468100225,6011836199387268,American Express,9132.89,429172,2028-02-11,16.27,2021-09-21,Suspended
3782.53,Quarterly,6494433328966617,6524877601523314,MasterCard,6595.82,440432,2027-05-14,10.69,2022-09-05,Closed
1836.84,Quarterly,5001525035595729,5144449935892302,MasterCard,7374.31,422937,2028-04-26,17.9,2021-10-21,Active
4300.46,Monthly,2963898908790023,4343398920559555908,MasterCard,8344.67,409281,2028-08-04,13.25,2024-05-18,Suspended
1436.43,Monthly,2086261068078901,4666490206228,American Express,8443.18,420953,2028-08-20,11.95,2022-07-10,Suspended
4395.77,Quarterly,1673520989927497,2222774559850514,MasterCard,5709.76,436296,2026-10-23,13.83,2022-02-06,Closed
1056,Monthly,6986250632923536,4371207120104207,American Express,1857.57,421428,2028-05-03,10.78,2020-10-12,Suspended
1302.1,Quarterly,5610826490944626,4873550737020719,American Express,4258.94,433591,2026-05-20,13.25,2022-11-12,Closed
2225.81,Quarterly,6678295743924709,3580373019672883,MasterCard,6386.86,414146,2028-03-15,18.5,2022-05-02,Suspended
1021.4,Monthly,9829113924055078,3574871849472166,MasterCard,6624.68,422921,2028-10-20,12.76,2023-12-17,Suspended
2934.33,Quarterly,6053707825447365,3507232241325043,American Express,3166.47,401965,2028-05-08,15.37,2020-09-21,Suspended
4601.52,Monthly,5267821956927229,4419003435441,Visa,8739.63,429602,2029-03-08,14.63,2024-06-23,Suspended
2311.92,Monthly,3942971829483721,3518636172632010,American Express,2981.53,409608,2025-12-22,10.22,2022-08-07,Closed
4739.33,Monthly,5183142098486005,4271458638221,MasterCard,3771.27,402845,2026-08-14,18.2,2022-07-05,Suspended
1765.44,Quarterly,2798002117672812,3549824116698486,MasterCard,9302.18,431962,2028-10-21,19.16,2021-07-29,Closed
506.87,Quarterly,1350299486593646,5464182768022984,Visa,8088.8,409776,2029-06-12,11.6,2020-07-11,Suspended
2699.64,Quarterly,4119531059964256,4319159313256887,MasterCard,9223.46,407105,2028-10-11,16.24,2023-07-17,Closed
3500.89,Monthly,8633722082431047,6584401566627437,American Express,7071.97,426881,2026-02-01,11.91,2020-04-08,Suspended
2608.94,Monthly,7506004437414210,3592930443871526,Visa,4459.56,436382,2027-05-06,11.81,2024-02-19,Suspended
2587.08,Quarterly,2175642489700419,4541032591256855,Visa,8635.74,448261,2029-01-29,19.39,2020-11-04,Closed
450.05,Monthly,5747690492220489,213194585830957,MasterCard,7631.52,434108,2029-04-14,15.13,2020-06-15,Active
4448.42,Monthly,3782054225385068,6011515326374544,American Express,1572.71,441228,2026-08-08,12.2,2023-10-15,Closed
1193.65,Quarterly,8468935580436101,4293846185153222,Visa,8312.12,444131,2028-12-10,18.81,2022-05-29,Active
1382.38,Quarterly,1305983907564844,372519042818046,American Express,5941.48,426530,2029-04-10,10.29,2024-05-18,Active
1897.06,Monthly,2841009097962274,675987232245,American Express,7543.53,414032,2028-03-13,11.78,2020-06-27,Suspended
2480.11,Monthly,9552151221736619,3572891687092431,Visa,6561.4,432372,2025-11-08,19.18,2021-09-01,Active
814.65,Monthly,9953041443759206,4310110700456,Visa,7063.66,444728,2026-02-07,16.66,2021-06-03,Active
2460.46,Monthly,1309765726608028,4977734199616835,Visa,4581.46,409130,2028-11-01,15.07,2022-05-20,Closed
1912.63,Quarterly,4207279579815208,6526631147477164,MasterCard,2360.46,404732,2028-10-28,16.43,2022-05-25,Active
4694.08,Monthly,3489166263959570,2716814051558836,American Express,4546.89,430740,2026-12-01,16.53,2021-10-21,Suspended
1388.22,Monthly,9795682194631834,4822883171715,Visa,5147.66,423521,2028-10-17,16.23,2020-05-08,Active
3042.65,Quarterly,3529828274162064,4306287476365478307,MasterCard,6746.04,404498,2026-05-20,11.44,2022-10-11,Active
4089.32,Quarterly,7459419333501717,6011771181561416,MasterCard,3768.51,428869,2026-10-10,17.56,2020-06-11,Suspended
4543.29,Quarterly,8113722415091427,3564576231193203,MasterCard,2568.55,426496,2027-07-21,11.11,2020-08-07,Suspended
3817.78,Quarterly,8494207503136566,4042457345961928,MasterCard,8652.11,415663,2027-07-10,10.32,2022-03-02,Active
1498.25,Quarterly,9951499392817416,373943129491213,American Express,8681.31,406242,2028-12-22,19.82,2021-05-06,Suspended
4259.24,Quarterly,9027516427831780,3580247616703251,American Express,5475.83,416311,2025-10-07,10.33,2022-09-14,Closed
3053.18,Monthly,3780615788221497,3528224203005346,American Express,8023.95,424262,2027-03-31,11.01,2021-03-11,Suspended
4659.24,Monthly,7602101889115594,060477491132,Visa,2209.68,429644,2027-10-30,18.07,2020-07-03,Active
4327.94,Quarterly,8899279994727129,4041823477823,Visa,6166.37,405103,2028-06-05,17.07,2021-10-09,Active
3125.69,Monthly,2443256034202174,3553962129117657,Visa,9568.55,425630,2027-01-21,19.83,2023-01-20,Active
4912.42,Monthly,1533146303791071,4091590512972750470,Visa,9507.74,447977,2025-11-10,10.13,2020-04-11,Suspended
2335.3,Monthly,9107731050112214,180087823952295,MasterCard,2086.69,431168,2026-04-27,11.57,2022-01-04,Active
111.02,Monthly,5402838174651940,213197673205446,MasterCard,3832.47,416083,2028-08-20,14.71,2023-12-23,Suspended
853.35,Quarterly,3993938576845460,341997977955009,MasterCard,4134.66,428344,2026-10-26,15.28,2022-09-06,Closed
4217.29,Quarterly,5043324933718944,4843319016976604448,American Express,8688.07,426959,2028-02-14,18.28,2021-09-09,Closed
323.59,Monthly,9783306323904304,374629007305513,American Express,2471,408351,2026-12-21,15.46,2022-09-03,Closed
1451.85,Monthly,6596843255666125,6011833134513454,Visa,8293.85,424992,2028-02-24,17.83,2021-04-16,Active
1884.86,Quarterly,7174408786638200,4771636755521846,American Express,5404.39,444570,2027-08-06,13.68,2023-06-23,Active
802.09,Monthly,5535396977169192,30485723907611,American Express,5053.56,440132,2028-09-20,12.62,2024-07-19,Active
4624.9,Monthly,6989434497846053,4904593201369637,MasterCard,8857.51,439053,2028-01-04,12.89,2024-04-01,Closed
4222.18,Quarterly,3105363296549253,6511722790819328,American Express,1890.81,433333,2025-12-23,13.43,2023-05-26,Active
1078.62,Monthly,6646299288835072,180067123642382,American Express,6632.7,438898,2026-08-28,12.37,2022-11-23,Active
4884.12,Monthly,7826723462643040,180028833413779,Visa,3271.59,404372,2028-07-02,10.02,2020-04-04,Closed
3098.53,Monthly,7738972961063812,5233712344599640,MasterCard,7578.27,445322,2028-10-22,18.04,2020-04-03,Active
